Set,AUC,AUPRC,Accuracy,Recall,F1,Brier,Model,Stage
Test,0.7839488856971211,0.5351303973624466,0.7087283425956195,0.7181303116147308,0.5322834645669291,0.1881695572045465,Logistic_Regression,Baseline
Test,0.7925931455113056,0.5492511308267691,0.7620137299771167,0.5835694050991501,0.5309278350515464,0.16179424414733995,Random_Forest,Baseline
Test,0.7924847912796515,0.5584939453278733,0.754168028767571,0.6657223796033994,0.5555555555555556,0.16495193325952237,XGBoost,Baseline
Test,0.7771824649142978,0.5361950648214022,0.7884929715593331,0.1274787535410765,0.21765417170495768,0.16117681034139655,LightGBM,Baseline
Test,0.7967762208211084,0.5694109756816965,0.7129780974174567,0.7365439093484419,0.5422314911366006,0.184862174965963,Stacking,Baseline
Test,0.8019880593636717,0.5805407296753464,0.7996077149395228,0.29036827195467424,0.40078201368523947,0.1376158881284128,XGBoost_Optimized,Optimized
