Set,AUC,AUPRC,Accuracy,Recall,F1,Brier,Model,Stage
Test,0.782475268146625,0.5369274081215235,0.7090552468126838,0.7181303116147308,0.532563025210084,0.18871148197269916,Logistic_Regression,Baseline
Test,0.7899300392844287,0.5460753651467483,0.7646289637136319,0.5722379603399433,0.5287958115183246,0.16277013958867287,Random_Forest,Baseline
Test,0.790538026917599,0.5570133131122544,0.7535142203334423,0.6515580736543909,0.5495818399044206,0.16507642113020074,XGBoost,Baseline
Test,0.7753094416265656,0.5351323029232206,0.7888198757763976,0.12606232294617564,0.21601941747572814,0.16131395704445492,LightGBM,Baseline
Test,0.7957721382744467,0.5656630764922033,0.7159202353710363,0.7365439093484419,0.5447878470403352,0.18526726513164612,Stacking,Baseline
Test,0.8007814146006123,0.57509662936052,0.7983000980712651,0.2762039660056657,0.3872889771598808,0.13808737978313704,XGBoost_Optimized,Optimized
