variable,OR,CI_lower,CI_upper,p_value
urine_output_24h,1.9386598432300215,1.67313566148007,2.2463223244047463,5.088210641259987e-19
platelets_min,1.6695800463408164,0.8343019087829437,3.341113692931186,0.20551468827828426
platelets_max,1.6695800463408164,0.8343019087829437,3.341113692931186,0.20551468827828426
wbc_max,1.5301221932942348,0.7489731257764352,3.1259785513538483,0.3295906511493135
creatinine_max,1.112057341194537,0.44117388284900294,2.803138577335821,1.0
