variable,AUC_before,AUC_after,delta_AUC,PR_AUC_before,PR_AUC_after,delta_PR_AUC
sofa_total,0.6862187835555397,0.6862187835555397,0.0,0.4014872498749585,0.4014872498749585,0.0
lactate_max_24h,0.5981411599805236,0.5981411599805236,0.0,0.38682196354250137,0.38682196354250137,0.0
age,0.6020982137000014,0.6020982137000014,0.0,0.30516819331372913,0.30516819331372913,0.0
creatinine_max,0.6327790797504251,0.6327164255393527,-6.265421107243263e-05,0.3091224557826356,0.30900445065858795,-0.00011800512404763763
urine_output_24h,0.663568344375473,0.6635679558220766,-3.8855339634658037e-07,0.37853137630374145,0.37851428044428426,-1.7095859457194607e-05
