Set,AUC,AUPRC,Accuracy,Recall,F1,Brier,Model,Stage
Test,0.7828286233354081,0.5381022771656178,0.7103628636809415,0.7181303116147308,0.5336842105263158,0.18847976973824057,Logistic_Regression,Baseline
Test,0.7908733230677731,0.5475455367910891,0.7613599215429879,0.5835694050991501,0.5302445302445302,0.1622423618711757,Random_Forest,Baseline
Test,0.7889717063022432,0.5573706153760895,0.7482837528604119,0.6317280453257791,0.5367027677496992,0.16532721708760437,XGBoost,Baseline
Test,0.7754578267271365,0.5290485217782086,0.7832625040863027,0.07790368271954674,0.1423027166882277,0.1613338252988751,LightGBM,Baseline
Test,0.7957372241331361,0.5684256894260636,0.7169009480222295,0.7337110481586402,0.544689800210305,0.18463734662130363,Stacking,Baseline
Test,0.8021653389260168,0.5791108218950078,0.7983000980712651,0.2747875354107649,0.38606965174129354,0.13751356727170233,XGBoost_Optimized,Optimized
