Model,Threshold,TP,TN,FP,FN,Accuracy,Precision,Recall,F1,Specificity,NPV,Alert_Rate
XGBoost,0.4400000000000002,493,1714,639,213,0.7214776070611311,0.43551236749116606,0.6983002832861189,0.5364526659412405,0.7284317892052699,0.8894654903995849,0.37005557371690095
XGBoost,0.45000000000000023,485,1738,615,221,0.7267080745341615,0.4409090909090909,0.6869688385269122,0.5370985603543743,0.7386315342116447,0.8871873404798366,0.35959463877084014
XGBoost,0.46000000000000024,473,1762,591,233,0.7306309251389342,0.44454887218045114,0.669971671388102,0.5344632768361582,0.7488312792180195,0.8832080200501253,0.34782608695652173
XGBoost,0.47000000000000025,467,1782,571,239,0.7352075841778359,0.44990366088631983,0.6614730878186968,0.5355504587155964,0.757331066723332,0.8817417120237506,0.3393265773128473
XGBoost,0.48000000000000026,459,1803,550,247,0.7394573389996731,0.45490584737363726,0.6501416430594901,0.5352769679300291,0.7662558436039099,0.8795121951219512,0.3298463550179797
XGBoost,0.49000000000000027,447,1828,525,259,0.7437070938215103,0.45987654320987653,0.6331444759206799,0.532777115613826,0.7768805779855503,0.8758984187829421,0.3177508989865969
XGBoost,0.5000000000000002,435,1847,506,271,0.7459954233409611,0.4622741764080765,0.6161473087818697,0.5282331511839709,0.7849553761155971,0.8720491029272899,0.30761686825760054
LightGBM,0.2,645,996,1357,61,0.5364498202026806,0.3221778221778222,0.9135977337110481,0.47636632200886264,0.42328941776455586,0.9422894985808893,0.6544622425629291
LightGBM,0.21000000000000002,641,1028,1325,65,0.5456031382804838,0.32604272634791454,0.9079320113314447,0.47979041916167664,0.4368890777730557,0.9405306495882891,0.6426936907486106
LightGBM,0.22000000000000003,640,1064,1289,66,0.5570447858777379,0.33177812337998963,0.9065155807365439,0.4857685009487666,0.45218869528261796,0.9415929203539823,0.6305982347172279
LightGBM,0.23000000000000004,635,1086,1267,71,0.5626021575678326,0.33385909568874866,0.8994334277620396,0.4869631901840491,0.46153846153846156,0.9386343993085566,0.6217718208564891
LightGBM,0.24000000000000005,631,1123,1230,75,0.5733899967309578,0.33906501880709294,0.8937677053824362,0.4916244643552785,0.4772630684232894,0.9373956594323873,0.6083687479568486
LightGBM,0.25000000000000006,622,1151,1202,84,0.5796011768551814,0.34100877192982454,0.8810198300283286,0.491699604743083,0.48916277093072674,0.9319838056680162,0.5962732919254659
LightGBM,0.26000000000000006,618,1179,1174,88,0.5874468780647271,0.34486607142857145,0.8753541076487252,0.49479583666933546,0.501062473438164,0.930544593528019,0.585812356979405
LightGBM,0.2700000000000001,615,1215,1138,91,0.5982347172278523,0.35082715345122645,0.8711048158640227,0.5002033346888979,0.5163620909477263,0.9303215926493109,0.5730630925138934
LightGBM,0.2800000000000001,610,1235,1118,96,0.6031382804838182,0.35300925925925924,0.8640226628895185,0.5012325390304027,0.5248618784530387,0.9278737791134485,0.5648904870872834
LightGBM,0.2900000000000001,602,1272,1081,104,0.6126185027786858,0.35769459298871065,0.8526912181303116,0.5039765592298032,0.5405864853378666,0.9244186046511628,0.5501797973193854
LightGBM,0.3000000000000001,598,1311,1042,108,0.6240601503759399,0.3646341463414634,0.8470254957507082,0.5098039215686274,0.5571610709732256,0.9238900634249472,0.5361229159856162
LightGBM,0.3100000000000001,593,1338,1015,113,0.6312520431513566,0.3687810945273632,0.839943342776204,0.5125324114088159,0.5686357841053974,0.9221226740179187,0.5256619810395554
LightGBM,0.3200000000000001,592,1365,988,114,0.639751552795031,0.37468354430379747,0.8385269121813032,0.5179352580927384,0.580110497237569,0.922920892494929,0.5165086629617522
LightGBM,0.3300000000000001,584,1402,951,122,0.6492317750898987,0.38045602605863194,0.8271954674220963,0.5211958946898706,0.5958351041223969,0.9199475065616798,0.5017979731938542
LightGBM,0.34000000000000014,576,1429,924,130,0.6554429552141222,0.384,0.8158640226628895,0.5222121486854034,0.6073098172545687,0.9166132135984606,0.4903563255966002
LightGBM,0.35000000000000014,566,1456,897,140,0.6610003269042171,0.3868762816131237,0.8016997167138811,0.5218994928538497,0.6187845303867403,0.9122807017543859,0.4782608695652174
LightGBM,0.36000000000000015,562,1478,875,144,0.6668846028113763,0.39109255393180237,0.7960339943342776,0.5244983667755483,0.6281342966425839,0.9112207151664612,0.469761359921543
LightGBM,0.37000000000000016,556,1510,843,150,0.6753841124550507,0.39742673338098644,0.7875354107648725,0.5282660332541568,0.6417339566510837,0.9096385542168675,0.45733899967309577
LightGBM,0.38000000000000017,553,1536,817,153,0.6829029094475318,0.40364963503649637,0.78328611898017,0.5327552986512524,0.6527836804079898,0.9094138543516874,0.44785877737822816
LightGBM,0.3900000000000002,545,1559,794,161,0.6878064727034979,0.4070201643017177,0.7719546742209632,0.5330073349633252,0.662558436039099,0.9063953488372093,0.4377247466492318
LightGBM,0.4000000000000002,539,1586,767,167,0.6946714612618503,0.4127105666156202,0.7634560906515581,0.5357852882703777,0.6740331491712708,0.9047347404449515,0.4269369074861066
LightGBM,0.4100000000000002,530,1606,747,176,0.6982674076495586,0.41503523884103366,0.7507082152974505,0.5345436207766011,0.6825329366765831,0.9012345679012346,0.41745668519123896
LightGBM,0.4200000000000002,522,1643,710,184,0.7077476299444263,0.4237012987012987,0.7393767705382436,0.5386996904024768,0.698257543561411,0.8992884510125889,0.40274599542334094
LightGBM,0.4300000000000002,515,1665,688,191,0.7126511932003923,0.42809642560266004,0.7294617563739377,0.5395495023572551,0.7076073098172546,0.8970905172413793,0.3932657731284734
LightGBM,0.4400000000000002,511,1692,661,195,0.7201699901928735,0.43600682593856654,0.7237960339943342,0.54419595314164,0.7190820229494262,0.8966613672496025,0.38313174239947695
LightGBM,0.45000000000000023,502,1727,626,204,0.7286694998365479,0.4450354609929078,0.7110481586402266,0.5474372955288986,0.7339566510837229,0.8943552563438633,0.36874795684864337
LightGBM,0.46000000000000024,497,1742,611,209,0.7319385420071919,0.44855595667870035,0.7039660056657224,0.5479603087100331,0.7403314917127072,0.8928754484879549,0.36220987250735537
LightGBM,0.47000000000000025,488,1764,589,218,0.7361882968290291,0.4531104921077066,0.6912181303116147,0.5473920358945598,0.7496812579685508,0.8900100908173562,0.35207584177835893
LightGBM,0.48000000000000026,473,1780,573,233,0.7365152010460935,0.4521988527724665,0.669971671388102,0.5399543378995434,0.7564810879728007,0.8842523596621957,0.34194181104936255
LightGBM,0.49000000000000027,467,1806,547,239,0.7430532853873815,0.46055226824457596,0.6614730878186968,0.5430232558139535,0.7675308117297067,0.8831295843520782,0.33148087610330174
LightGBM,0.5000000000000002,456,1832,521,250,0.7479568486433475,0.46673490276356194,0.6458923512747875,0.5418894830659536,0.7785805354866129,0.8799231508165226,0.31938542007191895
Random Forest,0.2,674,747,1606,32,0.4645308924485126,0.2956140350877193,0.9546742209631728,0.4514400535833891,0.3174670633234169,0.9589216944801027,0.7453416149068323
Random Forest,0.21000000000000002,671,795,1558,35,0.4792415822164106,0.3010318528488111,0.9504249291784702,0.4572402044293015,0.3378665533361666,0.9578313253012049,0.7286694998365479
Random Forest,0.22000000000000003,668,837,1516,38,0.4919908466819222,0.3058608058608059,0.9461756373937678,0.46228373702422143,0.35571610709732254,0.9565714285714285,0.7139588100686499
Random Forest,0.23000000000000004,664,869,1484,42,0.5011441647597255,0.3091247672253259,0.9405099150141643,0.4653118430273301,0.36931576710582237,0.9538968166849616,0.7021902582543315
Random Forest,0.24000000000000005,659,925,1428,47,0.5178162798300098,0.315764254911356,0.93342776203966,0.47189402076620124,0.39311517212069697,0.9516460905349794,0.6822491010134031
Random Forest,0.25000000000000006,658,957,1396,48,0.5279503105590062,0.32035053554040893,0.9320113314447592,0.47681159420289854,0.4067148321291968,0.9522388059701492,0.6714612618502779
Random Forest,0.26000000000000006,650,991,1362,56,0.5364498202026806,0.3230616302186879,0.9206798866855525,0.4782928623988227,0.4211644708882278,0.9465138490926457,0.6577312847335731
Random Forest,0.2700000000000001,647,1024,1329,59,0.5462569467146127,0.3274291497975709,0.9164305949008499,0.482475764354959,0.4351891202719932,0.9455216989843028,0.6459627329192547
Random Forest,0.2800000000000001,639,1068,1285,67,0.558025498528931,0.3321205821205821,0.9050991501416431,0.4859315589353612,0.4538886527836804,0.9409691629955947,0.6289637136319058
Random Forest,0.2900000000000001,632,1115,1238,74,0.571101667211507,0.33796791443850266,0.8951841359773371,0.4906832298136646,0.4738631534211645,0.9377628259041211,0.6113108859104283
Random Forest,0.3000000000000001,626,1147,1206,80,0.5796011768551814,0.34170305676855894,0.886685552407932,0.4933018124507486,0.48746281342966424,0.93480032599837,0.598888525661981
Random Forest,0.3100000000000001,619,1186,1167,87,0.5900621118012422,0.34658454647256437,0.876770538243626,0.4967897271268058,0.5040373990650234,0.9316575019638649,0.5838509316770186
Random Forest,0.3200000000000001,614,1237,1116,92,0.6050997057862046,0.35491329479768785,0.8696883852691218,0.5041050903119869,0.5257118572035699,0.9307750188111362,0.5655442955214123
Random Forest,0.3300000000000001,601,1285,1068,105,0.6165413533834586,0.36009586578789693,0.8512747875354107,0.5061052631578947,0.5461113472163196,0.9244604316546763,0.5456031382804838
Random Forest,0.34000000000000014,597,1313,1040,109,0.6243870545930043,0.36469150885766644,0.8456090651558074,0.5096030729833547,0.5580110497237569,0.9233473980309423,0.535142203334423
Random Forest,0.35000000000000014,591,1368,985,115,0.6404053612291598,0.375,0.8371104815864022,0.5179666958808063,0.5813854653633659,0.9224544841537424,0.5152010460934946
Random Forest,0.36000000000000015,580,1407,946,126,0.6495586793069631,0.3800786369593709,0.8215297450424929,0.5197132616487455,0.5979600509987251,0.9178082191780822,0.4988558352402746
Random Forest,0.37000000000000016,574,1450,903,132,0.6616541353383458,0.3886255924170616,0.8130311614730878,0.5258818140174072,0.6162345941351466,0.9165613147914032,0.482837528604119
Random Forest,0.38000000000000017,568,1489,864,138,0.672441974501471,0.39664804469273746,0.8045325779036827,0.5313376987839102,0.6328091797705058,0.915181315304241,0.46812683883622097
Random Forest,0.3900000000000002,560,1524,829,146,0.6812683883622098,0.4031677465802736,0.7932011331444759,0.5346062052505967,0.6476838079048024,0.9125748502994012,0.45406995750245177
Random Forest,0.4000000000000002,549,1567,786,157,0.6917293233082706,0.41123595505617977,0.7776203966005666,0.5379715825575698,0.6659583510412239,0.9089327146171694,0.4364171297809742
Random Forest,0.4100000000000002,540,1609,744,166,0.7025171624713958,0.4205607476635514,0.7648725212464589,0.542713567839196,0.68380790480238,0.9064788732394367,0.41974501471068976
Random Forest,0.4200000000000002,524,1650,703,182,0.7106897678980059,0.42705786471067647,0.7422096317280453,0.5421624418003104,0.7012324691882703,0.9006550218340611,0.40111147433801897
Random Forest,0.4300000000000002,516,1686,667,190,0.719843085975809,0.4361792054099746,0.7308781869688386,0.5463208046585495,0.7165320866978325,0.8987206823027718,0.38672768878718533
Random Forest,0.4400000000000002,500,1718,635,206,0.7250735534488395,0.44052863436123346,0.7082152974504249,0.5431830526887561,0.7301317467063323,0.8929313929313929,0.37103628636809416
Random Forest,0.45000000000000023,482,1768,585,224,0.7355344883949003,0.45173383317713217,0.6827195467422096,0.5437112239142696,0.7513812154696132,0.8875502008032129,0.34880679960771493
Random Forest,0.46000000000000024,470,1806,547,236,0.7440339980385747,0.46214355948869223,0.6657223796033994,0.5455600696459664,0.7675308117297067,0.8844270323212536,0.33246158875449494
Random Forest,0.47000000000000025,462,1840,513,244,0.7525335076822491,0.47384615384615386,0.6543909348441926,0.5496728138013087,0.7819804504887378,0.8829174664107485,0.3187316116377901
Random Forest,0.48000000000000026,448,1877,476,258,0.7600523046747303,0.48484848484848486,0.6345609065155807,0.5496932515337424,0.7977050573735657,0.8791569086651054,0.30205949656750575
Random Forest,0.49000000000000027,429,1901,452,277,0.7616868257600523,0.4869466515323496,0.6076487252124646,0.5406427221172023,0.8079048023799406,0.8728191000918274,0.2880026152337365
Random Forest,0.5000000000000002,413,1932,421,293,0.7665903890160183,0.4952038369304556,0.5849858356940509,0.5363636363636364,0.8210794730131746,0.868314606741573,0.2726381170317097
Stacking Ensemble,0.2,673,740,1613,33,0.4619156587119974,0.29440069991251094,0.953257790368272,0.44986631016042783,0.3144921376965576,0.9573091849935317,0.7473030402092187
Stacking Ensemble,0.21000000000000002,667,797,1556,39,0.4785877737822818,0.30004498425551057,0.9447592067988668,0.45544554455445546,0.33871653208669783,0.9533492822966507,0.7267080745341615
Stacking Ensemble,0.22000000000000003,666,844,1509,40,0.4936253677672442,0.3062068965517241,0.943342776203966,0.4623394654633808,0.3586910327241819,0.9547511312217195,0.7110166721150702
Stacking Ensemble,0.23000000000000004,661,886,1467,45,0.505720823798627,0.3106203007518797,0.9362606232294618,0.4664784756527876,0.3765405864853379,0.9516648764769066,0.6956521739130435
Stacking Ensemble,0.24000000000000005,659,938,1415,47,0.522066034651847,0.31774349083895853,0.93342776203966,0.4741007194244604,0.39864003399915005,0.9522842639593908,0.6779993461915659
Stacking Ensemble,0.25000000000000006,653,964,1389,53,0.528604118993135,0.3197845249755142,0.9249291784702549,0.475254730713246,0.4096897577560561,0.9478859390363815,0.6675384112455051
Stacking Ensemble,0.26000000000000006,651,999,1354,55,0.5393919581562602,0.32468827930174565,0.9220963172804533,0.4802655846551088,0.4245643858903527,0.9478178368121443,0.6554429552141222
Stacking Ensemble,0.2700000000000001,649,1047,1306,57,0.5544295521412226,0.3319693094629156,0.9192634560906515,0.4877865464111236,0.44496387590310243,0.9483695652173914,0.6390977443609023
Stacking Ensemble,0.2800000000000001,641,1080,1273,65,0.5626021575678326,0.3349007314524556,0.9079320113314447,0.48931297709923666,0.45898852528686784,0.9432314410480349,0.6256946714612619
Stacking Ensemble,0.2900000000000001,639,1108,1245,67,0.571101667211507,0.339171974522293,0.9050991501416431,0.4934362934362934,0.47088822779430517,0.9429787234042554,0.6158875449493298
Stacking Ensemble,0.3000000000000001,633,1135,1218,73,0.5779666557698594,0.3419773095623987,0.896600566572238,0.4951114587407118,0.48236294092647686,0.9395695364238411,0.6050997057862046
Stacking Ensemble,0.3100000000000001,630,1168,1185,76,0.5877737822817914,0.34710743801652894,0.8923512747875354,0.49980166600555337,0.49638759031024227,0.9389067524115756,0.5933311539718862
Stacking Ensemble,0.3200000000000001,623,1204,1149,83,0.597254004576659,0.3515801354401806,0.8824362606232294,0.5028248587570622,0.5116872078198045,0.9355089355089355,0.579274272638117
Stacking Ensemble,0.3300000000000001,618,1233,1120,88,0.6050997057862046,0.35558112773302647,0.8753541076487252,0.5057283142389526,0.5240118997025074,0.9333838001514004,0.5681595292579275
Stacking Ensemble,0.34000000000000014,613,1276,1077,93,0.6175220660346519,0.36272189349112427,0.8682719546742209,0.511686143572621,0.542286442838929,0.9320672023374726,0.5524681268388362
Stacking Ensemble,0.35000000000000014,605,1314,1039,101,0.6273291925465838,0.3680048661800487,0.8569405099150141,0.5148936170212766,0.5584360390990225,0.9286219081272085,0.5374305328538738
Stacking Ensemble,0.36000000000000015,600,1346,1007,106,0.6361556064073226,0.37336652146857496,0.8498583569405099,0.5188067444876784,0.5720356991075223,0.9269972451790633,0.525335076822491
Stacking Ensemble,0.37000000000000016,597,1371,982,109,0.6433474991827395,0.37808739708676375,0.8456090651558074,0.5225382932166301,0.5826604334891627,0.9263513513513514,0.5161817587446879
Stacking Ensemble,0.38000000000000017,589,1400,953,117,0.6502124877410919,0.38197146562905315,0.8342776203966006,0.5240213523131673,0.5949851253718657,0.922874093605801,0.504086302713305
Stacking Ensemble,0.3900000000000002,586,1426,927,120,0.6577312847335731,0.38730998017184404,0.830028328611898,0.5281658404686795,0.6060348491287718,0.9223803363518758,0.4946060804184374
Stacking Ensemble,0.4000000000000002,584,1458,895,122,0.6675384112455051,0.39486139283299526,0.8271954674220963,0.5345537757437071,0.6196345091372716,0.9227848101265823,0.4834913370382478
Stacking Ensemble,0.4100000000000002,578,1474,879,128,0.6708074534161491,0.39670555936856555,0.8186968838526912,0.5344429033749422,0.6264343391415215,0.920099875156055,0.476299444262831
Stacking Ensemble,0.4200000000000002,568,1500,853,138,0.6760379208891795,0.39971850809289233,0.8045325779036827,0.5340855665256229,0.6374840628984275,0.9157509157509157,0.4645308924485126
Stacking Ensemble,0.4300000000000002,564,1526,827,142,0.6832298136645962,0.40546369518332137,0.7988668555240793,0.5379113018597997,0.6485337866553336,0.9148681055155875,0.4547237659365806
Stacking Ensemble,0.4400000000000002,559,1550,803,147,0.6894409937888198,0.4104258443465492,0.7917847025495751,0.5406189555125726,0.6587335316617084,0.9133765468473777,0.445243543641713
Stacking Ensemble,0.45000000000000023,551,1579,774,155,0.6963059823471722,0.4158490566037736,0.7804532577903682,0.5425898572131955,0.6710582235444114,0.9106113033448674,0.4331480876103302
Stacking Ensemble,0.46000000000000024,545,1600,753,161,0.7012095456031383,0.41987673343605547,0.7719546742209632,0.5439121756487026,0.6799830004249894,0.9085746734809768,0.42432167374959134
Stacking Ensemble,0.47000000000000025,538,1619,734,168,0.7051323962079111,0.4229559748427673,0.7620396600566572,0.5439838220424671,0.6880577985550361,0.9059876888640179,0.415822164105917
Stacking Ensemble,0.48000000000000026,532,1651,702,174,0.7136319058515855,0.43111831442463533,0.7535410764872521,0.5484536082474227,0.7016574585635359,0.9046575342465754,0.40339980385746976
Stacking Ensemble,0.49000000000000027,527,1672,681,179,0.7188623733246159,0.43625827814569534,0.7464589235127479,0.5506792058516197,0.7105822354441139,0.9032955159373312,0.39490029421379536
Stacking Ensemble,0.5000000000000002,524,1689,664,182,0.7234390323635175,0.44107744107744107,0.7422096317280453,0.5533262935586061,0.7178070548236294,0.9027258150721539,0.38836220987250736
