Set,AUC,AUPRC,Accuracy,Recall,F1,Brier,Model,Stage
Test,0.7790338173556993,0.5338982740395458,0.7070938215102975,0.7039660056657224,0.5259259259259259,0.1892348720734848,Logistic_Regression,Baseline
Test,0.7904808399620038,0.5453182374280809,0.7590715920235371,0.5793201133144475,0.5260450160771705,0.16256491179967295,Random_Forest,Baseline
Test,0.7909293060874611,0.5581993110240944,0.7551487414187643,0.6373937677053825,0.5457853244390539,0.16497093153532935,XGBoost,Baseline
Test,0.7773666671081099,0.5356759367674786,0.7943772474664923,0.17280453257790368,0.27949599083619703,0.16154189416441472,LightGBM,Baseline
Test,0.7954934271119143,0.5655798291027743,0.7116704805491991,0.7322946175637394,0.5396659707724426,0.18616337668357455,Stacking,Baseline
Test,0.8001779417270941,0.5770758952940922,0.7989539065053939,0.28328611898017,0.39408866995073893,0.13829632500360467,XGBoost_Optimized,Optimized
