Set,AUC,AUPRC,Accuracy,Recall,F1,Brier,Model,Stage
Test,0.7908733230677731,0.5475455367910891,0.7613599215429879,0.5835694050991501,0.5302445302445302,0.1622423618711757,Random_Forest,Baseline
Test,0.7889717063022432,0.5573706153760895,0.7482837528604119,0.6317280453257791,0.5367027677496992,0.16532721708760437,XGBoost,Baseline
Test,0.7754578267271365,0.5290485217782086,0.7832625040863027,0.07790368271954674,0.1423027166882277,0.1613338252988751,LightGBM,Baseline
Test,0.799493805147789,0.5773971893586549,0.7996077149395228,0.28753541076487255,0.39842983316977426,0.13829837867328754,XGBoost_Optimized,Optimized
